time,open,high,low,close,tick_volume
2023-09-07 03:00:00,1.07275,1.07314,1.07244,1.07294,721
2023-09-07 04:00:00,1.07294,1.07298,1.07176,1.07189,784
2023-09-07 05:00:00,1.07188,1.07211,1.07153,1.07189,1155
2023-09-07 06:00:00,1.07187,1.07252,1.07144,1.07161,2036
2023-09-07 07:00:00,1.07162,1.07193,1.07078,1.07155,2692
2023-09-07 08:00:00,1.07153,1.07163,1.07073,1.07102,2209
2023-09-07 09:00:00,1.07101,1.07175,1.07068,1.07142,1965
2023-09-07 10:00:00,1.0714299999999999,1.07145,1.07037,1.07059,1817
2023-09-07 11:00:00,1.07059,1.0713,1.07026,1.0705,1450
2023-09-07 12:00:00,1.07049,1.07103,1.06857,1.06929,3772
2023-09-07 13:00:00,1.06929,1.07037,1.06906,1.0691,3811
2023-09-07 14:00:00,1.0691,1.07095,1.0686,1.07026,3330
2023-09-07 15:00:00,1.07028,1.07083,1.06942,1.07029,2377
2023-09-07 16:00:00,1.07029,1.07093,1.07026,1.07036,1414
2023-09-07 17:00:00,1.07036,1.0709,1.06982,1.06989,1281
2023-09-07 18:00:00,1.06987,1.07035,1.06937,1.06938,1106
2023-09-07 19:00:00,1.06937,1.0701,1.06934,1.06945,1235
2023-09-07 20:00:00,1.06945,1.06982,1.06929,1.06929,642
2023-09-07 21:00:00,1.06939,1.06963,1.06934,1.06957,192
2023-09-07 22:00:00,1.06955,1.06966,1.06937,1.06952,204
2023-09-07 23:00:00,1.06937,1.0697,1.06924,1.0697,274
2023-09-08 00:00:00,1.06972,1.07146,1.06967,1.07136,1602
2023-09-08 01:00:00,1.07136,1.07205,1.07044,1.07168,1850
2023-09-08 02:00:00,1.07168,1.07229,1.07141,1.07176,1189
2023-09-08 03:00:00,1.07176,1.0718,1.07144,1.0716,728
2023-09-08 04:00:00,1.0716,1.07166,1.07123,1.0713,688
2023-09-08 05:00:00,1.0713,1.07257,1.0713,1.07237,956
2023-09-08 06:00:00,1.07237,1.07276,1.0714,1.07151,1758
2023-09-08 07:00:00,1.07151,1.07186,1.07073,1.07083,2532
2023-09-08 08:00:00,1.07083,1.07169,1.07073,1.07115,2290
2023-09-08 09:00:00,1.07113,1.07113,1.06989,1.07029,2210
2023-09-08 10:00:00,1.07028,1.07042,1.06963,1.06999,1681
2023-09-08 11:00:00,1.07001,1.07044,1.06938,1.06988,1791
2023-09-08 12:00:00,1.06987,1.07132,1.06974,1.07019,2714
2023-09-08 13:00:00,1.0702099999999999,1.07258,1.06992,1.07258,3337
2023-09-08 14:00:00,1.07259,1.07434,1.07138,1.07148,3507
2023-09-08 15:00:00,1.0715,1.07169,1.07064,1.07083,2200
2023-09-08 16:00:00,1.07084,1.07131,1.07001,1.0704,1428
2023-09-08 17:00:00,1.07039,1.07103,1.07024,1.07054,1068
2023-09-08 18:00:00,1.07054,1.0708199999999999,1.06966,1.06974,1192
2023-09-08 19:00:00,1.06974,1.07001,1.06968,1.0699,884
2023-09-08 20:00:00,1.06988,1.07027,1.06988,1.07,641
2023-09-10 21:00:00,1.07106,1.0715,1.07081,1.07144,264
2023-09-10 22:00:00,1.07139,1.07139,1.07065,1.07097,616
2023-09-10 23:00:00,1.07097,1.07201,1.07066,1.07158,717
2023-09-11 00:00:00,1.07159,1.07205,1.07096,1.07129,1567
2023-09-11 01:00:00,1.07129,1.07205,1.07098,1.0719,1764
2023-09-11 02:00:00,1.07191,1.07276,1.07184,1.07235,1257
2023-09-11 03:00:00,1.07235,1.07247,1.07189,1.07222,986
2023-09-11 04:00:00,1.07221,1.07372,1.07214,1.07351,1486
2023-09-11 05:00:00,1.0735,1.0741,1.07282,1.07283,1754
2023-09-11 06:00:00,1.07285,1.07351,1.0723799999999999,1.07328,1994
2023-09-11 07:00:00,1.07327,1.07371,1.07247,1.0725500000000001,2471
2023-09-11 08:00:00,1.0725500000000001,1.07328,1.07218,1.07282,2090
2023-09-11 09:00:00,1.07282,1.07339,1.07231,1.07321,1807
2023-09-11 10:00:00,1.07322,1.07335,1.0726,1.07317,1712
2023-09-11 11:00:00,1.0731600000000001,1.07319,1.07179,1.07191,1737
2023-09-11 12:00:00,1.07192,1.07274,1.07151,1.07272,2480
2023-09-11 13:00:00,1.0727,1.07365,1.07219,1.07354,3037
2023-09-11 14:00:00,1.07354,1.07588,1.07343,1.07452,3419
2023-09-11 15:00:00,1.07451,1.07494,1.07407,1.07422,2012
2023-09-11 16:00:00,1.07423,1.07575,1.07422,1.07507,1458
